LADC,index,index_scaled,PC,PC_O,PC_1
E01012922,"18,262",6,YO25 9JR,YO25,9JR
E01012928,"1,875",1,YO16 4DQ,YO16,4DQ
E01012933,"19,628",6,YO15 1HY,YO15,1HY
E01012953,"19,680",6,HU16 4DQ,HU16,4DQ
E01012957,"28,432",9,HU20 3LB,HU20,3LB
E01012961,"17,570",6,HU10 6DS,HU10,6DS
E01012965,"26,622",9,HU15 1ZL,HU15,1ZL
E01012990,"12,678",4,YO11 3UL,YO11,3UL
E01013008,"20,232",7,HU14 9AQ,HU14,9AQ
E01013016,"27,622",9,YO8  7EN,YO8, 7EN
E01013022,"19,272",6,YO42 4NX,YO42,4NX
E01013037,"24,702",8,HU18 1WH,HU18,1WH
E01013057,"29,696",10,YO41 4BJ,YO41,4BJ
E01013079,"11,903",4,HU19 2PB,HU19,2PB
E01013127,"23,420",8,YO95 1BT,YO95,1BT
E01013128,"3,939",2,DN35 8JX,DN35,8JX
E01013136,27,1,DN31 3SY,DN31,3SY
E01013136,27,1,DN32 7JG,DN32,7JG
E01013144,494,1,DN37 9AU,DN37,9AU
E01013153,"20,662",7,DN36 4GG,DN36,4GG
E01013173,"21,195",7,DN41 8AA,DN41,8AA
E01013173,"21,195",7,DN40 2PR,DN40,2PR
E01013174,896,1,DN39 6WB,DN39,6WB
E01013182,"20,398",7,DN33 2AB,DN33,2AB
E01013182,"20,398",7,DN34 4SP,DN34,4SP
E01013225,"15,268",5,LN3  6BP,LN3, 6BP
E01013225,"15,268",5,LN8  6BP,LN8, 6BP
E01013236,"15,847",5,DN16 3HJ,DN16,3HJ
E01013236,"15,847",5,DN17 2UF,DN17,2UF
E01013254,"8,911",3,DN18 5AP,DN18,5AP
E01013255,"14,473",5,DN19 7AG,DN19,7AG
E01013266,"28,771",9,DN15 2QL,DN15,2QL
E01013267,"18,228",6,DN20 0PQ,DN20,0PQ
E01013269,"23,137",8,DN38 6DN,DN38,6DN
E01013322,"21,984",7,DN21 4BA,DN21,4BA
E01013325,"21,304",7,LN7  6JX,LN7, 6JX
